txn_id,auth_id,card_id,merchant_id,txn_amount_usd,txn_currency,txn_timestamp,txn_type,txn_status,settlement_date,pos_entry_mode,acquirer_ref,interchange_fee_usd,processing_fee_usd,is_cross_border,exchange_rate
TXN0000018,AUTH000147,CRD00018,MER0007,1515.65,EUR,2023-10-27 17:35:15,CASH_ADVANCE,PENDING,2024-03-31 12:05:05,CONTACTLESS,ACQ791609,26.27,2.3,False,1.0
TXN0000019,AUTH000129,CRD00173,MER0018,4178.78,GBP,2024-12-07 16:07:59,BALANCE_INQUIRY,REVERSED,2024-03-01 23:40:35,CHIP,ACQ235410,26.87,2.42,False,1.0
TXN0000020,AUTH000152,CRD00170,MER0008,4055.6,GBP,2023-06-09 18:05:50,CASH_ADVANCE,REVERSED,2024-11-13 15:20:39,ECOM,ACQ266494,30.23,4.7,True,1.0
TXN0000021,AUTH000484,CRD00083,MER0014,4107.65,EUR,2023-06-06 16:00:41,PURCHASE,PENDING,2024-06-22 02:31:10,CHIP,ACQ964637,20.02,4.05,True,1.0
TXN0000022,AUTH000404,CRD00103,MER0007,3122.88,EUR,2023-12-24 10:50:05,BALANCE_INQUIRY,SETTLED,2024-10-13 08:02:51,CHIP,ACQ401897,32.35,4.6,False,1.1558
TXN0000023,AUTH000209,CRD00198,MER0003,1206.47,EUR,2024-10-01 13:50:25,REFUND,REVERSED,2024-04-06 18:06:17,SWIPE,ACQ747743,36.69,2.32,True,1.0
TXN0000024,AUTH000404,CRD00103,MER0007,2999.77,EUR,2024-06-26 15:40:55,PURCHASE,PENDING,2024-12-09 21:50:52,SWIPE,ACQ387075,44.14,2.71,True,1.149
TXN0000025,AUTH000158,CRD00107,MER0011,3585.13,EUR,2023-11-16 10:46:49,PURCHASE,FAILED,2024-01-30 17:20:42,CHIP,ACQ628896,38.35,1.66,False,1.0
TXN0000026,AUTH000153,CRD00038,MER0016,4579.97,USD,2023-12-25 23:25:35,PURCHASE,SETTLED,2024-09-05 02:40:06,ECOM,ACQ499670,17.25,2.03,False,1.0
TXN0000027,AUTH000008,CRD00068,MER0016,2540.17,GBP,2024-07-04 18:34:28,REFUND,FAILED,2024-09-17 07:36:27,ECOM,ACQ608306,23.12,0.46,True,1.0
TXN0000028,AUTH000308,CRD00037,MER0018,3678.54,USD,2024-09-29 05:51:43,CASH_ADVANCE,PENDING,2024-03-07 06:00:20,CHIP,ACQ736473,5.12,1.51,True,0.8842
TXN0000029,AUTH000469,CRD00037,MER0006,1263.41,USD,2024-06-10 03:20:13,CASH_ADVANCE,PENDING,2024-06-20 03:13:48,CONTACTLESS,ACQ286583,10.91,0.22,True,1.0
TXN0000030,AUTH000312,CRD00137,MER0011,397.09,EUR,2024-10-11 17:30:41,PURCHASE,REVERSED,2024-09-25 02:29:51,CONTACTLESS,ACQ565553,2.72,0.07,False,1.2644
TXN0000031,AUTH000262,CRD00047,MER0020,1159.07,EUR,2023-06-05 08:00:12,PURCHASE,SETTLED,2024-06-12 18:22:04,CHIP,ACQ115267,16.92,1.0,True,1.0
TXN0000032,AUTH000074,CRD00172,MER0012,4000.06,EUR,2024-10-07 00:43:20,REFUND,PENDING,2024-01-18 02:13:34,ECOM,ACQ637395,5.47,1.67,True,1.0
TXN0000033,AUTH000436,CRD00103,MER0016,2465.49,GBP,2024-02-25 18:04:09,BALANCE_INQUIRY,REVERSED,2024-02-16 21:58:28,SWIPE,ACQ324164,5.38,1.65,False,1.0
TXN0000034,AUTH000224,CRD00118,MER0012,742.78,EUR,2023-06-15 06:16:54,BALANCE_INQUIRY,PENDING,2024-01-26 15:18:58,CONTACTLESS,ACQ781516,31.23,0.27,False,1.0
TXN0000035,AUTH000422,CRD00013,MER0010,1576.08,USD,2023-03-21 01:56:34,REFUND,FAILED,2024-02-06 19:05:00,MANUAL,ACQ440110,49.07,3.5,True,1.1857
TXN0000036,AUTH000102,CRD00032,MER0012,3437.08,USD,2024-05-08 11:50:48,CASH_ADVANCE,REVERSED,2024-01-27 05:16:16,CONTACTLESS,ACQ118506,30.47,2.95,False,1.0
TXN0000037,AUTH000167,CRD00081,MER0014,1767.0,USD,2024-07-01 07:14:20,PURCHASE,PENDING,2024-01-09 05:43:22,MANUAL,ACQ895807,44.85,1.58,True,1.0
TXN0000038,AUTH000174,CRD00104,MER0019,983.29,USD,2023-02-16 13:02:45,REFUND,FAILED,2024-07-12 16:28:03,CONTACTLESS,ACQ311824,7.67,1.06,False,1.0
TXN0000039,AUTH000422,CRD00013,MER0010,1615.6,USD,2023-12-11 15:39:21,CASH_ADVANCE,PENDING,2024-04-18 00:19:34,CONTACTLESS,ACQ774865,39.37,0.25,False,1.0
TXN0000040,AUTH000203,CRD00027,MER0010,1329.91,GBP,2023-06-27 21:03:22,CASH_ADVANCE,FAILED,2024-04-04 01:55:27,SWIPE,ACQ665509,2.8,4.59,False,1.1481
TXN0000041,AUTH000160,CRD00104,MER0020,4751.28,GBP,2023-10-24 07:24:46,CASH_ADVANCE,PENDING,2024-06-20 19:06:08,CHIP,ACQ167755,43.51,0.4,False,1.0
TXN0000042,AUTH000108,CRD00013,MER0004,4053.53,USD,2023-04-08 12:37:36,PURCHASE,PENDING,2024-08-18 03:43:04,MANUAL,ACQ971598,39.78,1.06,True,1.0
TXN0000043,AUTH000329,CRD00035,MER0004,4111.81,EUR,2024-07-14 12:58:26,REFUND,PENDING,2024-06-13 16:07:22,SWIPE,ACQ735281,12.52,1.46,False,0.9007
TXN0000044,AUTH000340,CRD00095,MER0003,899.22,EUR,2023-10-07 07:05:35,BALANCE_INQUIRY,REVERSED,2024-03-06 03:41:34,ECOM,ACQ562816,21.19,3.07,False,1.2098
TXN0000045,AUTH000340,CRD00095,MER0003,896.38,EUR,2023-10-24 06:10:16,BALANCE_INQUIRY,SETTLED,2024-10-21 17:04:19,CONTACTLESS,ACQ724094,26.91,2.79,False,1.0
TXN0000046,AUTH000327,CRD00052,MER0013,4302.24,USD,2023-08-08 23:42:38,BALANCE_INQUIRY,REVERSED,2024-01-28 22:31:34,CONTACTLESS,ACQ243294,35.77,1.02,False,1.0
TXN0000047,AUTH000352,CRD00004,MER0010,1702.0,EUR,2023-10-18 16:40:16,BALANCE_INQUIRY,REVERSED,2024-12-25 12:03:58,ECOM,ACQ513820,48.53,1.9,False,1.0
TXN0000048,AUTH000417,CRD00127,MER0002,2105.62,GBP,2024-11-18 09:35:16,PURCHASE,SETTLED,2024-05-29 10:50:18,MANUAL,ACQ270249,9.79,2.21,False,1.1758
TXN0000049,AUTH000247,CRD00118,MER0008,2085.92,USD,2024-01-15 12:34:16,CASH_ADVANCE,SETTLED,2024-09-09 18:53:12,ECOM,ACQ544638,36.81,1.25,False,0.9807
TXN0000050,AUTH000472,CRD00008,MER0014,3014.14,USD,2024-06-01 01:05:35,REFUND,FAILED,2024-08-23 03:04:08,ECOM,ACQ814149,7.45,1.27,True,1.2208
TXN0000051,AUTH000009,CRD00173,MER0010,4390.63,GBP,2023-03-13 16:42:17,BALANCE_INQUIRY,REVERSED,2024-10-01 05:02:50,MANUAL,ACQ184251,25.97,0.98,False,1.0
TXN0000052,AUTH000299,CRD00054,MER0019,3534.89,EUR,2023-08-23 17:46:51,BALANCE_INQUIRY,FAILED,2024-10-12 00:45:19,ECOM,ACQ889013,43.83,3.65,False,1.0
TXN0000053,AUTH000408,CRD00146,MER0004,70.76,GBP,2023-09-25 11:56:50,REFUND,FAILED,2024-10-17 18:40:12,SWIPE,ACQ884639,19.96,1.58,False,0.8008
TXN0000054,AUTH000053,CRD00048,MER0009,1384.15,USD,2023-11-21 13:05:41,BALANCE_INQUIRY,FAILED,2024-10-11 16:26:55,ECOM,ACQ278922,8.9,0.97,False,1.0
TXN0000055,AUTH000138,CRD00198,MER0018,2600.19,GBP,2023-03-27 14:59:23,BALANCE_INQUIRY,PENDING,2024-03-13 02:16:19,SWIPE,ACQ161847,37.52,4.06,False,1.0
TXN0000056,AUTH000287,CRD00082,MER0013,1973.97,EUR,2024-12-10 03:01:13,PURCHASE,PENDING,2024-01-31 23:52:52,CONTACTLESS,ACQ189870,18.95,1.42,False,1.0
TXN0000057,AUTH000169,CRD00199,MER0013,3583.13,GBP,2024-06-06 13:59:11,PURCHASE,SETTLED,2024-01-24 17:05:15,CONTACTLESS,ACQ888318,47.77,3.34,False,1.0
TXN0000058,AUTH000370,CRD00028,MER0006,4130.43,EUR,2023-10-19 18:55:05,CASH_ADVANCE,REVERSED,2024-07-02 18:50:23,CONTACTLESS,ACQ733729,21.53,1.89,False,1.2084
TXN0000059,AUTH000255,CRD00128,MER0016,2672.44,USD,2023-10-21 22:33:09,PURCHASE,FAILED,2024-12-05 01:40:17,CONTACTLESS,ACQ945435,5.1,2.31,True,1.0
TXN0000060,AUTH000105,CRD00159,MER0004,1345.35,USD,2023-04-06 10:55:12,CASH_ADVANCE,PENDING,2024-05-23 02:00:55,ECOM,ACQ748388,34.34,4.36,True,1.0
TXN0000061,AUTH000142,CRD00176,MER0010,2882.03,EUR,2024-05-10 14:32:51,CASH_ADVANCE,SETTLED,2024-09-03 03:13:57,CONTACTLESS,ACQ147976,48.48,3.69,True,1.0
TXN0000062,AUTH000427,CRD00123,MER0010,724.71,USD,2024-07-28 03:46:23,PURCHASE,FAILED,2024-06-15 04:28:07,ECOM,ACQ790318,42.87,4.53,True,1.0
TXN0000063,AUTH000427,CRD00123,MER0010,713.94,USD,2023-04-22 04:43:21,PURCHASE,PENDING,2024-07-12 08:59:52,CHIP,ACQ415986,41.63,4.98,False,1.0
TXN0000064,AUTH000314,CRD00185,MER0019,1190.51,EUR,2024-01-10 12:16:23,REFUND,PENDING,2024-03-23 04:38:07,SWIPE,ACQ889842,47.22,3.51,False,1.0
TXN0000065,AUTH000021,CRD00118,MER0012,4072.2,GBP,2024-12-22 13:12:24,CASH_ADVANCE,REVERSED,2024-10-24 14:30:57,CONTACTLESS,ACQ331081,35.99,3.35,True,1.0
TXN0000066,AUTH000103,CRD00006,MER0002,3435.74,EUR,2024-05-07 02:11:39,BALANCE_INQUIRY,SETTLED,2024-11-04 22:58:28,CONTACTLESS,ACQ334677,46.6,3.84,True,1.0
TXN0000067,AUTH000244,CRD00007,MER0020,2989.02,GBP,2024-07-11 06:06:06,BALANCE_INQUIRY,REVERSED,2024-11-09 23:16:36,SWIPE,ACQ334410,13.03,1.49,False,1.0
TXN0000068,AUTH000419,CRD00147,MER0006,2076.14,USD,2024-08-01 08:40:51,PURCHASE,FAILED,2024-02-19 11:37:00,CONTACTLESS,ACQ498663,28.89,0.06,False,1.0
TXN0000069,AUTH000143,CRD00101,MER0018,1464.32,GBP,2023-11-26 02:18:44,CASH_ADVANCE,FAILED,2024-11-05 17:24:28,SWIPE,ACQ644998,33.22,2.97,False,1.0
TXN0000070,AUTH000379,CRD00088,MER0018,2713.37,USD,2023-09-03 09:17:30,REFUND,FAILED,2024-11-21 03:25:29,SWIPE,ACQ624112,34.03,0.78,False,1.0
TXN0000071,AUTH000466,CRD00050,MER0020,2689.19,USD,2024-10-04 22:24:08,PURCHASE,FAILED,2024-04-29 23:04:36,MANUAL,ACQ822049,6.26,4.98,True,1.0
TXN0000072,AUTH000441,CRD00054,MER0018,234.18,USD,2024-01-20 11:56:40,CASH_ADVANCE,REVERSED,2024-01-23 20:10:22,CONTACTLESS,ACQ260119,41.41,1.09,True,0.9125
TXN0000073,AUTH000038,CRD00015,MER0016,4280.43,USD,2024-08-25 18:24:38,REFUND,REVERSED,2024-10-09 11:49:01,ECOM,ACQ413630,49.22,3.31,False,1.074
TXN0000074,AUTH000239,CRD00078,MER0008,4836.17,GBP,2024-01-03 17:13:06,CASH_ADVANCE,REVERSED,2024-05-31 20:58:20,CHIP,ACQ653485,36.37,1.45,False,1.074
TXN0000075,AUTH000074,CRD00172,MER0012,3865.48,EUR,2024-08-07 07:15:48,PURCHASE,FAILED,2024-06-26 16:30:43,SWIPE,ACQ705193,6.96,3.49,False,0.9049
TXN0000076,AUTH000146,CRD00018,MER0009,485.4,GBP,2023-01-08 02:14:32,CASH_ADVANCE,SETTLED,2024-09-20 10:22:48,SWIPE,ACQ494847,47.52,2.16,False,0.848
TXN0000077,AUTH000335,CRD00181,MER0001,4125.59,USD,2023-02-10 18:09:04,PURCHASE,FAILED,2024-08-18 10:49:04,ECOM,ACQ255785,31.39,2.05,False,1.0
TXN0000078,AUTH000279,CRD00044,MER0010,3741.76,GBP,2024-06-18 08:57:11,REFUND,REVERSED,2024-10-28 07:26:39,CHIP,ACQ915509,23.24,4.1,False,1.0
TXN0000079,AUTH000456,CRD00036,MER0013,2526.71,USD,2023-01-10 00:17:05,PURCHASE,SETTLED,2024-02-02 02:13:57,CHIP,ACQ612982,32.11,4.55,False,1.0
TXN0000080,AUTH000408,CRD00146,MER0004,71.51,GBP,2024-01-08 10:29:50,CASH_ADVANCE,SETTLED,2024-11-04 11:49:12,MANUAL,ACQ289893,19.26,5.0,True,1.0
TXN0000081,AUTH000406,CRD00095,MER0006,1882.0,EUR,2023-09-10 14:42:27,PURCHASE,PENDING,2024-06-06 09:57:15,CHIP,ACQ512925,27.85,2.71,True,1.0
TXN0000082,AUTH000366,CRD00009,MER0017,2942.14,EUR,2024-02-23 15:20:55,PURCHASE,PENDING,2024-09-12 18:25:57,CHIP,ACQ289440,43.11,3.49,False,1.0
TXN0000083,AUTH000223,CRD00057,MER0007,4091.14,USD,2023-04-11 01:18:14,REFUND,PENDING,2024-02-04 02:33:01,MANUAL,ACQ369232,42.59,0.22,False,1.0
TXN0000084,AUTH000257,CRD00009,MER0019,4183.16,EUR,2023-05-14 06:54:55,BALANCE_INQUIRY,SETTLED,2024-04-06 10:40:09,CONTACTLESS,ACQ148408,47.32,2.62,False,1.0
TXN0000085,AUTH000313,CRD00179,MER0013,4289.63,GBP,2024-01-16 22:31:00,CASH_ADVANCE,FAILED,2024-08-23 09:56:01,MANUAL,ACQ635392,10.57,0.54,False,1.0
TXN0000086,AUTH000142,CRD00176,MER0010,2903.04,EUR,2024-10-26 22:35:03,REFUND,PENDING,2024-08-21 20:23:32,MANUAL,ACQ326534,29.63,1.42,True,1.0
TXN0000087,AUTH000056,CRD00121,MER0017,1747.57,GBP,2023-07-22 11:19:25,BALANCE_INQUIRY,PENDING,2024-06-04 08:49:25,ECOM,ACQ187298,47.24,3.4,True,1.0
TXN0000088,AUTH000151,CRD00199,MER0005,1744.7,USD,2024-07-23 02:03:00,CASH_ADVANCE,PENDING,2024-10-04 11:06:35,CONTACTLESS,ACQ691021,32.9,4.11,True,1.0
TXN0000089,AUTH000115,CRD00121,MER0016,4198.61,USD,2024-09-03 21:21:33,BALANCE_INQUIRY,REVERSED,2024-01-11 01:29:50,MANUAL,ACQ359520,3.97,0.67,False,1.0
TXN0000090,AUTH000285,CRD00174,MER0010,4378.11,EUR,2024-05-12 05:46:24,PURCHASE,FAILED,2024-12-19 02:46:52,CONTACTLESS,ACQ915866,13.74,4.35,False,1.0
TXN0000091,AUTH000075,CRD00122,MER0019,4271.1,EUR,2023-06-22 14:35:05,BALANCE_INQUIRY,SETTLED,2024-10-30 23:36:21,CHIP,ACQ284267,26.37,4.38,True,1.0448
TXN0000092,AUTH000373,CRD00018,MER0016,4542.61,EUR,2024-03-20 09:47:58,CASH_ADVANCE,FAILED,2024-08-23 22:00:08,CHIP,ACQ150293,8.62,4.74,False,1.0
TXN0000093,AUTH000473,CRD00163,MER0017,1016.45,USD,2024-02-17 23:16:24,BALANCE_INQUIRY,REVERSED,2024-08-18 00:43:49,SWIPE,ACQ371645,0.57,2.59,False,1.0
TXN0000094,AUTH000110,CRD00088,MER0006,552.34,EUR,2024-07-25 05:16:00,CASH_ADVANCE,SETTLED,2024-12-22 16:29:47,CONTACTLESS,ACQ841870,38.9,3.41,False,0.8916
TXN0000095,AUTH000250,CRD00037,MER0015,4107.83,EUR,2024-01-26 02:13:54,CASH_ADVANCE,FAILED,2024-06-15 03:03:34,MANUAL,ACQ853367,44.08,4.08,False,1.0
TXN0000096,AUTH000066,CRD00108,MER0006,4411.26,EUR,2023-11-12 17:59:05,CASH_ADVANCE,SETTLED,2024-09-03 11:36:55,CHIP,ACQ180418,36.52,4.73,False,1.0
TXN0000097,AUTH000062,CRD00158,MER0012,1102.63,GBP,2024-03-06 10:17:12,BALANCE_INQUIRY,SETTLED,2024-06-13 15:48:49,MANUAL,ACQ866296,6.91,2.51,True,1.244
TXN0000098,AUTH000499,CRD00050,MER0019,4363.9,EUR,2023-01-11 19:07:10,REFUND,SETTLED,2024-10-04 08:27:15,ECOM,ACQ836720,26.76,1.76,True,1.0
TXN0000099,AUTH000373,CRD00018,MER0016,4621.3,EUR,2023-02-02 21:34:21,BALANCE_INQUIRY,PENDING,2024-09-18 23:00:08,MANUAL,ACQ336001,8.82,1.87,False,1.0
TXN0000100,AUTH000038,CRD00015,MER0016,4172.91,USD,2023-10-22 10:50:19,REFUND,FAILED,2024-02-13 23:24:46,CONTACTLESS,ACQ812049,12.56,2.72,False,1.0
TXN0000101,AUTH000341,CRD00038,MER0016,726.73,USD,2023-06-15 11:50:13,PURCHASE,REVERSED,2024-03-25 10:54:13,CONTACTLESS,ACQ774206,25.82,4.47,False,1.2242
TXN0000102,AUTH000046,CRD00146,MER0002,2105.4,USD,2024-04-23 02:18:55,BALANCE_INQUIRY,FAILED,2024-04-25 20:49:46,CONTACTLESS,ACQ212369,0.36,4.46,False,1.0
TXN0000103,AUTH000007,CRD00181,MER0007,983.45,GBP,2024-01-18 04:24:16,REFUND,SETTLED,2024-07-24 11:32:14,MANUAL,ACQ261177,20.59,4.57,False,1.0
TXN0000104,AUTH000459,CRD00033,MER0016,3422.71,USD,2024-01-01 14:27:33,BALANCE_INQUIRY,FAILED,2024-04-26 05:32:16,CONTACTLESS,ACQ549148,44.62,2.71,False,1.0
TXN0000105,AUTH000308,CRD00037,MER0018,3777.71,USD,2023-12-08 06:12:09,REFUND,PENDING,2024-05-17 09:04:30,ECOM,ACQ106092,18.03,4.36,False,1.0
TXN0000106,AUTH000200,CRD00042,MER0013,3943.53,USD,2023-11-03 10:52:14,BALANCE_INQUIRY,FAILED,2024-12-15 21:54:29,CHIP,ACQ268099,33.34,4.74,True,0.8594
TXN0000107,AUTH000344,CRD00067,MER0008,2367.26,EUR,2024-09-13 05:43:37,REFUND,FAILED,2024-10-18 16:39:55,ECOM,ACQ626236,36.33,3.72,False,1.0
TXN0000108,AUTH000082,CRD00083,MER0009,3606.5,GBP,2023-04-08 23:06:50,REFUND,FAILED,2024-07-13 04:20:47,CHIP,ACQ904661,34.25,0.31,False,1.0
TXN0000109,AUTH000421,CRD00161,MER0009,2932.42,USD,2023-12-04 08:28:13,BALANCE_INQUIRY,FAILED,2024-04-19 14:30:44,ECOM,ACQ186627,38.07,1.28,False,0.8934
TXN0000110,AUTH000198,CRD00001,MER0017,4029.53,USD,2024-11-02 05:14:12,CASH_ADVANCE,PENDING,2024-09-15 18:38:59,ECOM,ACQ308050,23.75,3.92,False,1.0512
TXN0000111,AUTH000137,CRD00133,MER0012,2467.69,GBP,2024-10-25 23:58:03,REFUND,PENDING,2024-02-16 18:46:46,SWIPE,ACQ520775,2.01,4.95,False,1.0
TXN0000112,AUTH000432,CRD00169,MER0020,3484.57,EUR,2024-11-02 08:39:14,PURCHASE,REVERSED,2024-06-07 04:17:05,MANUAL,ACQ421331,35.04,4.9,False,1.0
TXN0000113,AUTH000339,CRD00017,MER0012,1645.75,EUR,2023-11-28 17:12:52,PURCHASE,FAILED,2024-02-12 17:47:11,CONTACTLESS,ACQ481237,14.1,1.79,False,1.0
TXN0000114,AUTH000033,CRD00103,MER0003,3072.01,GBP,2023-01-01 09:59:25,PURCHASE,FAILED,2024-03-23 07:46:26,CONTACTLESS,ACQ594988,14.08,3.05,False,1.0
TXN0000115,AUTH000346,CRD00067,MER0012,893.92,GBP,2023-08-25 09:37:12,PURCHASE,SETTLED,2024-09-16 19:02:34,CHIP,ACQ816137,27.63,4.32,False,1.0
TXN0000116,AUTH000256,CRD00154,MER0020,33.42,GBP,2024-04-02 10:05:53,CASH_ADVANCE,PENDING,2024-09-09 12:45:13,CONTACTLESS,ACQ320235,29.26,0.48,False,1.0
TXN0000117,AUTH000425,CRD00154,MER0014,432.14,EUR,2024-03-31 14:17:52,REFUND,PENDING,2024-09-30 15:54:27,ECOM,ACQ203428,3.84,2.76,False,1.0
TXN0000118,AUTH000335,CRD00181,MER0001,4299.82,USD,2023-06-06 21:32:11,REFUND,SETTLED,2024-02-19 15:28:48,SWIPE,ACQ538527,27.57,1.3,True,1.2475
TXN0000119,AUTH000315,CRD00185,MER0002,1990.6,USD,2023-04-02 05:02:02,BALANCE_INQUIRY,SETTLED,2024-07-06 12:12:51,ECOM,ACQ649205,46.57,2.54,False,1.0
TXN0000120,AUTH000194,CRD00007,MER0013,2580.65,USD,2023-04-11 03:30:30,CASH_ADVANCE,SETTLED,2024-08-07 21:07:52,CHIP,ACQ932978,48.63,0.99,False,1.0
TXN0000121,AUTH000376,CRD00155,MER0013,4905.6,GBP,2023-02-28 05:49:53,REFUND,REVERSED,2024-10-18 13:17:24,MANUAL,ACQ502810,28.17,1.98,True,1.0
TXN0000122,AUTH000140,CRD00065,MER0018,335.55,USD,2024-03-20 04:57:03,REFUND,SETTLED,2024-12-07 10:19:07,MANUAL,ACQ577564,25.24,3.62,False,1.0
TXN0000123,AUTH000159,CRD00012,MER0005,2766.96,USD,2023-07-28 13:28:33,PURCHASE,PENDING,2024-03-27 23:10:25,CHIP,ACQ659484,11.99,0.24,False,0.9389
TXN0000124,AUTH000102,CRD00032,MER0012,3426.13,USD,2024-09-06 02:14:58,PURCHASE,PENDING,2024-11-15 18:44:23,SWIPE,ACQ660563,5.9,3.26,True,1.0
TXN0000125,AUTH000259,CRD00098,MER0003,3664.37,GBP,2024-07-01 22:45:34,CASH_ADVANCE,PENDING,2024-06-07 14:01:53,MANUAL,ACQ409220,16.3,0.33,False,0.9096
TXN0000126,AUTH000198,CRD00001,MER0017,3909.25,USD,2023-01-13 03:31:21,PURCHASE,REVERSED,2024-09-10 22:05:17,CONTACTLESS,ACQ756649,31.75,2.78,False,1.0
TXN0000127,AUTH000190,CRD00173,MER0017,2340.94,GBP,2024-05-04 04:20:06,BALANCE_INQUIRY,PENDING,2024-06-22 05:32:32,SWIPE,ACQ865263,36.34,1.87,False,1.0
TXN0000128,AUTH000137,CRD00133,MER0012,2502.51,GBP,2024-09-25 11:50:54,REFUND,PENDING,2024-08-09 05:35:50,ECOM,ACQ864915,9.1,1.45,False,1.0
TXN0000129,AUTH000135,CRD00085,MER0012,1455.18,GBP,2024-06-17 21:26:46,REFUND,SETTLED,2024-02-25 17:43:31,CHIP,ACQ547107,12.34,4.55,False,1.0
TXN0000130,AUTH000372,CRD00117,MER0020,3522.35,GBP,2024-08-05 21:17:37,PURCHASE,SETTLED,2024-05-26 18:03:05,ECOM,ACQ121722,5.59,0.12,True,0.8661
TXN0000131,AUTH000061,CRD00026,MER0011,1454.25,USD,2024-12-30 00:44:31,PURCHASE,SETTLED,2024-11-03 10:48:45,CHIP,ACQ668716,36.83,1.73,True,1.0
TXN0000132,AUTH000105,CRD00159,MER0004,1377.51,USD,2024-03-13 04:18:26,BALANCE_INQUIRY,PENDING,2024-04-29 09:02:08,CONTACTLESS,ACQ602171,7.81,0.33,True,1.0
TXN0000133,AUTH000382,CRD00097,MER0020,3234.44,EUR,2024-10-02 17:42:53,PURCHASE,SETTLED,2024-07-30 12:25:56,CONTACTLESS,ACQ207548,25.63,4.19,False,1.0
TXN0000134,AUTH000161,CRD00106,MER0020,679.56,GBP,2023-11-28 18:22:53,BALANCE_INQUIRY,PENDING,2024-05-17 05:05:13,CONTACTLESS,ACQ336856,46.09,3.44,True,1.2114
TXN0000135,AUTH000087,CRD00006,MER0001,2310.77,USD,2023-03-27 13:04:38,REFUND,SETTLED,2024-04-19 10:41:57,CONTACTLESS,ACQ179995,30.82,0.64,False,1.1023
